Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z
0,0.000000E+00,0.000000E+00,0.000000E+00,5.761356E+10,4.092077E+09,0.000000E+00,1.081233E+11,3.025728E+09,0.000000E+00,1.495539E+11,2.572992E+09,0.000000E+00,2.279200E+11,2.080253E+09,0.000000E+00,7.785456E+11,1.129248E+09,0.000000E+00,1.433449E+12,8.372160E+08,0.000000E+00,2.878679E+12,5.883840E+08,0.000000E+00,4.503444E+12,4.691520E+08,0.000000E+00
86400,0.000000E+00,0.000000E+00,0.000000E+00,5.702103E+10,7.887110E+09,0.000000E+00,1.079539E+11,5.966698E+09,0.000000E+00,1.494653E+11,5.101661E+09,0.000000E+00,2.278818E+11,4.141411E+09,0.000000E+00,7.785423E+11,2.256854E+09,0.000000E+00,1.433448E+12,1.673914E+09,0.000000E+00,2.878679E+12,1.176595E+09,0.000000E+00,4.503443E+12,9.382176E+08,0.000000E+00
172800,0.000000E+00,0.000000E+00,0.000000E+00,5.612947E+10,1.138311E+10,0.000000E+00,1.076997E+11,8.822909E+09,0.000000E+00,1.493323E+11,7.586006E+09,0.000000E+00,2.278245E+11,6.183475E+09,0.000000E+00,7.785374E+11,3.382819E+09,0.000000E+00,1.433446E+12,2.510093E+09,0.000000E+00,2.878678E+12,1.764634E+09,0.000000E+00,4.503443E+12,1.407197E+09,0.000000E+00
259200,0.000000E+00,0.000000E+00,0.000000E+00,5.493585E+10,1.457706E+10,0.000000E+00,1.073607E+11,1.159419E+10,0.000000E+00,1.491550E+11,1.002603E+10,0.000000E+00,2.277482E+11,8.206445E+09,0.000000E+00,7.785308E+11,4.507142E+09,0.000000E+00,1.433444E+12,3.345754E+09,0.000000E+00,2.878677E+12,2.352499E+09,0.000000E+00,4.503443E+12,1.876090E+09,0.000000E+00
345600,0.000000E+00,0.000000E+00,0.000000E+00,5.343552E+10,1.746429E+10,0.000000E+00,1.069366E+11,1.428045E+10,0.000000E+00,1.489333E+11,1.242164E+10,0.000000E+00,2.276527E+11,1.021032E+10,0.000000E+00,7.785226E+11,5.629824E+09,0.000000E+00,1.433442E+12,4.180896E+09,0.000000E+00,2.878676E+12,2.940192E+09,0.000000E+00,4.503442E+12,2.344896E+09,0.000000E+00
432000,0.000000E+00,0.000000E+00,0.000000E+00,5.162164E+10,2.003797E+10,0.000000E+00,1.064274E+11,1.688152E+10,0.000000E+00,1.486672E+11,1.477284E+10,0.000000E+00,2.275381E+11,1.219510E+10,0.000000E+00,7.785127E+11,6.750864E+09,0.000000E+00,1.433438E+12,5.015520E+09,0.000000E+00,2.878675E+12,3.527712E+09,0.000000E+00,4.503442E+12,2.813616E+09,0.000000E+00
518400,0.000000E+00,0.000000E+00,0.000000E+00,4.948462E+10,2.228852E+10,0.000000E+00,1.058328E+11,1.939723E+10,0.000000E+00,1.483567E+11,1.707964E+10,0.000000E+00,2.274045E+11,1.416079E+10,0.000000E+00,7.785012E+11,7.870262E+09,0.000000E+00,1.433435E+12,5.849626E+09,0.000000E+00,2.878674E+12,4.115059E+09,0.000000E+00,4.503441E+12,3.282250E+09,0.000000E+00
604800,0.000000E+00,0.000000E+00,0.000000E+00,4.701125E+10,2.420271E+10,0.000000E+00,1.051526E+11,2.182732E+10,0.000000E+00,1.480017E+11,1.934194E+10,0.000000E+00,2.272517E+11,1.610738E+10,0.000000E+00,7.784881E+11,8.988019E+09,0.000000E+00,1.433431E+12,6.683213E+09,0.000000E+00,2.878673E+12,4.702234E+09,0.000000E+00,4.503441E+12,3.750797E+09,0.000000E+00
691200,0.000000E+00,0.000000E+00,0.000000E+00,4.418346E+10,2.576249E+10,0.000000E+00,1.043864E+11,2.417144E+10,0.000000E+00,1.476022E+11,2.155974E+10,0.000000E+00,2.270799E+11,1.803488E+10,0.000000E+00,7.784733E+11,1.010413E+10,0.000000E+00,1.433426E+12,7.516282E+09,0.000000E+00,2.878671E+12,5.289235E+09,0.000000E+00,4.503440E+12,4.219258E+09,0.000000E+00
777600,0.000000E+00,0.000000E+00,0.000000E+00,4.097690E+10,2.694349E+10,0.000000E+00,1.035338E+11,2.642924E+10,0.000000E+00,1.471581E+11,2.373296E+10,0.000000E+00,2.268889E+11,1.994319E+10,0.000000E+00,7.784569E+11,1.121861E+10,0.000000E+00,1.433421E+12,8.348832E+09,0.000000E+00,2.878670E+12,5.876064E+09,0.000000E+00,4.503439E+12,4.687632E+09,0.000000E+00
864000,0.000000E+00,0.000000E+00,0.000000E+00,3.735838E+10,2.771254E+10,0.000000E+00,1.025945E+11,2.860021E+10,0.000000E+00,1.466693E+11,2.586151E+10,0.000000E+00,2.266788E+11,2.183233E+10,0.000000E+00,7.784389E+11,1.233144E+10,0.000000E+00,1.433415E+12,9.180864E+09,0.000000E+00,2.878668E+12,6.462720E+09,0.000000E+00,4.503438E+12,5.155920E+09,0.000000E+00
950400,0.000000E+00,0.000000E+00,0.000000E+00,3.328194E+10,2.802367E+10,0.000000E+00,1.015678E+11,3.068384E+10,0.000000E+00,1.461359E+11,2.794539E+10,0.000000E+00,2.264495E+11,2.370228E+10,0.000000E+00,7.784192E+11,1.344263E+10,0.000000E+00,1.433409E+12,1.001238E+10,0.000000E+00,2.878666E+12,7.049203E+09,0.000000E+00,4.503437E+12,5.624122E+09,0.000000E+00
1036800,0.000000E+00,0.000000E+00,0.000000E+00,2.868209E+10,2.781138E+10,0.000000E+00,1.004531E+11,3.267942E+10,0.000000E+00,1.455576E+11,2.998443E+10,0.000000E+00,2.262010E+11,2.555306E+10,0.000000E+00,7.783978E+11,1.455218E+10,0.000000E+00,1.433402E+12,1.084337E+10,0.000000E+00,2.878663E+12,7.635514E+09,0.000000E+00,4.503436E+12,6.092237E+09,0.000000E+00
